NPI,State,Login Time,Logout Time,Usage Time (mins),Region,Speciality,Count of Survey Attempts,Login Hour,Logout Hour,Target Hour,Active
1000000000,6,2025-03-08 06:09:00,2025-03-08 06:28:00,19,1,0,3,6,6,0,0
1000000001,4,2025-03-08 12:28:00,2025-03-08 13:10:00,42,0,3,5,12,13,0,0
1000000002,0,2025-03-08 15:11:00,2025-03-08 15:37:00,26,3,3,8,15,15,0,0
1000000003,9,2025-03-08 14:17:00,2025-03-08 15:36:00,79,1,4,9,14,15,0,0
1000000004,2,2025-03-08 15:59:00,2025-03-08 17:37:00,98,3,3,0,15,17,0,0
1000000005,3,2025-03-08 11:41:00,2025-03-08 13:37:00,116,0,4,10,11,13,0,0
1000000006,9,2025-03-08 11:33:00,2025-03-08 12:20:00,47,0,0,6,11,12,0,0
1000000007,9,2025-03-08 16:37:00,2025-03-08 18:15:00,98,3,1,6,16,18,0,0
1000000008,5,2025-03-08 18:54:00,2025-03-08 19:22:00,28,1,5,8,18,19,0,0
1000000009,8,2025-03-08 13:42:00,2025-03-08 14:01:00,19,3,2,10,13,14,0,0
1000000010,7,2025-03-08 15:05:00,2025-03-08 15:21:00,16,2,4,1,15,15,0,0
1000000011,3,2025-03-08 12:22:00,2025-03-08 13:58:00,96,0,1,10,12,13,0,0
1000000012,6,2025-03-08 14:31:00,2025-03-08 15:46:00,75,0,4,5,14,15,0,0
1000000013,0,2025-03-08 12:21:00,2025-03-08 13:06:00,45,3,3,10,12,13,0,0
1000000014,0,2025-03-08 13:05:00,2025-03-08 13:25:00,20,2,6,2,13,13,0,0
1000000015,7,2025-03-08 11:26:00,2025-03-08 13:17:00,111,3,1,2,11,13,0,0
1000000016,2,2025-03-08 11:20:00,2025-03-08 12:53:00,93,0,0,9,11,12,0,0
1000000017,4,2025-03-08 20:10:00,2025-03-08 21:31:00,81,1,6,8,20,21,0,0
1000000018,9,2025-03-08 12:23:00,2025-03-08 12:29:00,6,0,1,5,12,12,0,0
1000000019,0,2025-03-08 12:34:00,2025-03-08 13:29:00,55,3,4,0,12,13,0,0
1000000020,9,2025-03-08 14:21:00,2025-03-08 14:33:00,12,2,0,4,14,14,0,0
1000000021,8,2025-03-08 19:06:00,2025-03-08 19:17:00,11,3,2,0,19,19,0,0
